,reaction,EC,met,KM_min,KM_max,ratio,KM_model_max,KM_model_min,label
199,PGI,5.3.1.9,g6p,0.084,0.3,3.571428571428571,20.520401391224386,3.6673054169360153,PGI_g6p
200,PGM,5.4.2.11,2pg,0.040999999999999995,0.067,1.634146341463415,0.03275745963774415,3.8256899193764465e-05,PGM_2pg
201,PGM,5.4.2.11,3pg,0.026000000000000002,1.43,54.99999999999999,20.892547456147636,0.1725770760013487,PGM_3pg
202,PGMT,5.4.2.2,g1p,0.023,2.0,86.95652173913044,3.356229585200665e-05,3.693590065894896e-07,PGMT_g1p
204,PPM,5.4.2.7,r1p,0.5,0.75,1.5,1.50444329629836,0.0008496716444262198,PPM_r1p
205,CHORM,5.4.99.5,chor,0.4,6.3,15.749999999999998,0.06357063140013203,0.00034456221592461887,CHORM_chor
206,ACS,6.2.1.1,ac,0.20800000000000002,0.513,2.4663461538461537,0.0258675010424206,0.00014489070970067258,ACS_ac
207,ACS,6.2.1.1,accoa,1.8,1.8,1.0,4.872975223973242,0.00811073943773411,ACS_accoa
208,ACS,6.2.1.1,atp,0.16,1.2,7.5,13.240122544915282,0.0027734067578939294,ACS_atp
209,ACS,6.2.1.1,coa,0.035,0.23800000000000002,6.8,251.3074859807098,16.425879223425888,ACS_coa
210,ACSm,6.2.1.1,ac,0.20800000000000002,0.513,2.4663461538461537,0.23777394152232223,0.01380892714755552,ACSm_ac
211,ACSm,6.2.1.1,accoa,1.8,1.8,1.0,0.19589744366146414,0.000496514301685153,ACSm_accoa
212,ACSm,6.2.1.1,atp,0.16,1.2,7.5,0.0001113560070747649,1.5269657246747982e-06,ACSm_atp
213,ACSm,6.2.1.1,coa,0.035,0.23800000000000002,6.8,6.060200209743616,0.0927479502816498,ACSm_coa
214,CTPS2,6.3.4.2,utp,0.04,0.1,2.5,89.68177044877721,0.18905012525186507,CTPS2_utp
215,CTPS1,6.3.4.2,utp,0.04,0.1,2.5,14.667399153214673,0.03553628560150478,CTPS1_utp
217,ADSS,6.3.4.4,gtp,0.06,0.16,2.666666666666667,1.349074078029421,0.007044297476956217,ADSS_gtp
218,ADSS,6.3.4.4,imp,0.2,1.7,8.5,0.2338149792217434,0.001579439183867485,ADSS_imp
219,NADS2,6.3.5.1,atp,0.17,0.17,1.0,1.3878221922109168,0.010536909900333973,NADS2_atp
221,NADS2,6.3.5.1,nad,0.19,0.19,1.0,148.56696980323707,2.5844932480267304,NADS2_nad
223,PC,6.4.1.1,atp,0.05,0.07,1.4000000000000001,7.982397103125554,0.1434228646387216,PC_atp
224,PC,6.4.1.1,pyr,0.45,0.5,1.1111111111111112,9.354677511731833,0.4599054456493639,PC_pyr
